feature,importance
Age,0.3150068313528705
NumOfProducts,0.20176596534437058
Engagement_Product_Score,0.09352700701439658
Balance,0.08272269625351913
Balance_Salary_Ratio,0.05949916007503698
Geography_Germany,0.05545253843217592
EstimatedSalary,0.05414347038182489
Age_Tenure_Interaction,0.028416111922836534
IsActiveMember,0.02811792211273969
CreditScore,0.023039699031857416
CreditScore_Normalized,0.023001114560762786
Product_Density,0.01460461567927013
Gender_Male,0.011948457137195438
Geography_Spain,0.003968927326631535
HasCrCard,0.002435370221799974
Tenure,0.002133002793464537
Age_Group_Senior,0.00016351747770374094
Age_Group_Young,5.359288154355937e-05
